Issue Key,Rule Score,ML Score,Hybrid Score,Tier,Explanation,Summary,Acceptance criteria,Description
AML-139,90,99.1,93.64,GOOD,Ticket meets quality standards,Create operational runbook for support team,runbook must include system health checks common error codes and resolutions restart procedures escalation contacts backup and restore steps,As an operations lead I want runbook so that L1 support can handle common issues
AML-140,90,98.59,93.44,GOOD,Ticket meets quality standards,Define quality gates for each sprint,define gates code coverage greater than 80 percent no critical bugs all test cases pass performance regression less than 10 percent security scan clean,As a Scrum Master I want quality gates so that each sprint meets quality bar
AML-141,90,97.75,93.1,GOOD,Ticket meets quality standards,Create product backlog prioritization framework,use WSJF (Weighted Shortest Job First) with weights business value 40 percent time criticality 30 percent risk reduction 20 percent opportunity enablement 10 percent,As a PO I want backlog prioritization criteria so that we work on highest value items first
AML-162,90,99.28,93.71,GOOD,Ticket meets quality standards,Define performance test environment specifications,production 64GB RAM 16 cores test 32GB RAM 8 cores to test at 50 percent scale with extrapolation methodology,As a performance engineer I want test environment matching production so that performance results are valid
AML-163,90,99.37,93.75,GOOD,Ticket meets quality standards,Create security exception register,log any approved exceptions with description risk assessment compensating controls approval date review date,As a security analyst I want register for any deviations from security standards so that exceptions are tracked
AML-172,90,96.41,92.56,GOOD,Ticket meets quality standards,Define change request approval matrix,low risk team lead approval medium change board high CAB plus compliance emergency on-call manager plus post-facto CAB,As a change manager I want approval matrix for changes so that governance is clear
AML-186,90,99.17,93.67,GOOD,Ticket meets quality standards,Document database backup restore procedure,procedure for full restore point-in-time restore table-level restore schema-level restore with validation steps,As a DBA I want step-by-step restore procedure so that recovery can be done by any DBA
AML-191,90,95.32,92.13,GOOD,Ticket meets quality standards,Document troubleshooting guides for top 20 errors,guides for each error error message possible causes diagnostic commands resolution steps prevention tips,As a support lead I want troubleshooting guides for common errors so that Mean Time To Resolve decreases
AML-193,90,99.24,93.7,GOOD,Ticket meets quality standards,Create credential rotation schedule for service accounts,schedule database accounts every 90 days application accounts every 60 days API keys every 30 days with automated rotation,As a security engineer I want password rotation for 15 service accounts so that security posture is maintained
AML-197,90,97.68,93.07,GOOD,Ticket meets quality standards,Define security incident severity matrix,Sev1 (data breach) immediate response legal notified. Sev2 (ransomware) isolate systems restore from backup. Sev3 (scanning) investigate block IP. Sev4 (policy violation) warn user,As a security incident manager I want severity matrix for security events so that response is appropriate
AML-213,100,1.41,60.56,BAD,Semantic hollowness: Vague statement detected,Fix the issue reported by business team,Given business team identified a problem When I investigate and fix Then the issue should no longer occur. Testing team will verify the fix before deployment,As a developer I want to fix the issue that was reported by the business team in their email last week so that the system works correctly for all users
AML-214,100,0.35,60.14,BAD,Semantic hollowness: Vague statement detected,Develop functionality as requested by stakeholder,Given stakeholder provided requirements in the meeting When I implement them Then the functionality must match what they asked for. Acceptance will be confirmed by stakeholder review,As a developer I want to develop the functionality that was requested by the key stakeholder in the project kickoff meeting held earlier this quarter so that their requirements are satisfied
AML-215,100,15.49,66.19,BAD,Semantic hollowness: Vague statement detected,Optimize system performance for better user experience,Given current system has some performance issues When I apply optimizations Then the system should feel faster. Users should notice improvement in their daily work,As a developer I want to optimize the system's performance so that users have a better experience when using the application on a daily basis
AML-216,100,0.43,60.17,BAD,Semantic hollowness: Vague statement detected,Complete the pending work from previous sprint,Given some tasks remain incomplete from last sprint When I work on them Then they should be completed with proper testing. Demo will be shown in next sprint review,As a developer I want to complete the work that was started but not finished in the previous sprint so that we can close those items and move forward
AML-402,100,0.04,60.02,BAD,Semantic hollowness: Vague statement detected,Do the needful as per standard process,Given the standard process is documented When I follow it Then the work should be done correctly. Follow the usual quality checks and code review process.,As a developer I want to do the needful following our standard development process so that the work gets completed as expected
AML-405,100,0.04,60.01,BAD,Semantic hollowness: Vague statement detected,Make the changes as requested by PO,Given the PO requested specific changes When I implement them Then the functionality should meet their expectations. The PO will verify the changes in the demo.,As a developer I want to make the changes that were requested by the Product Owner in our last conversation so that the requirements are satisfied as discussed
AML-408,100,0.4,60.16,BAD,Semantic hollowness: Vague statement detected,Optimize the code for better performance,Given the system has some performance issues When I optimize the code Then it should run faster. The exact performance improvement will be measured after implementation.,As a developer I want to optimize the code to make it perform better so that the system runs faster for users
AML-409,100,0.15,60.06,BAD,Semantic hollowness: Vague statement detected,Implement what was discussed in the email,Given the email thread contains the discussion When I implement the agreed approach Then it should work as expected. Refer to the email chain for details.,As a developer I want to implement what was discussed in the email thread from last week so that the team can proceed with the agreed approach
AML-501,100,0.26,60.1,BAD,Semantic hollowness: Vague statement detected,Address code review feedback on the PR,Given there is a PR with comments When I address the feedback Then all comments should be resolved. The reviewer will re-review after changes.,As a developer I want to address the code review feedback that was provided on my pull request so that the code meets team standards. The reviewer suggested some changes that need to be made before merging.
AML-502,100,0.21,60.08,BAD,Semantic hollowness: Vague statement detected,Update the API endpoint as per feedback,Given the architect provided feedback on the API design When I update the endpoint Then it must follow the suggested pattern. The architect will approve the changes.,As a developer I want to update the API endpoint as per the feedback received from the architect in the design review meeting so that the implementation aligns with architecture.
AML-603,100,99.06,99.63,GOOD,Ticket meets quality standards,Process Facebook comment data for sentiment analysis,Given Facebook API is connected When comments are processed Then sentiment score must be calculated using NLP model,As a data scientist I want to process Facebook comments for sentiment analysis so that we can identify unusual sentiment patterns around customer accounts
AML-606,100,99.49,99.79,GOOD,Ticket meets quality standards,Build social media crawler for dark web forums,Given dark web forum URLs are configured When crawler runs daily Then matches must be logged and reviewed by security team,As a security engineer I want to build crawler for dark web forums so that we can detect mentions of HSBC customer data
AML-609,100,98.55,99.42,GOOD,Ticket meets quality standards,Build social media dashboard for investigators,Given social media alerts are generated When I open dashboard Then I must see alerts grouped by platform and risk level,As an investigator I want to see social media alerts in a dedicated dashboard so that I can review them separately from transaction alerts
AML-612,100,99.07,99.63,GOOD,Ticket meets quality standards,Implement social media watchlist screening,Given watchlist of sanctioned individuals exists When social media profiles are screened Then matches must generate high-priority alert,As a compliance analyst I want to screen social media profiles against watchlists so that we identify sanctioned individuals on social platforms
AML-615,100,99.37,99.75,GOOD,Ticket meets quality standards,Implement geolocation tagging for social media posts,Given post has location data When geolocation is tagged Then alert must show map with location clusters,As an investigator I want to see geolocation of social media posts so that we can identify suspicious geographic patterns
AML-617,100,99.62,99.85,GOOD,Ticket meets quality standards,Implement social media data retention policy,Given social media data is stored When retention policy is applied Then data older than 90 days must be archived,As a data governance officer I want to define retention policy for social media data so that we comply with data protection regulations
AML-620,100,99.46,99.78,GOOD,Ticket meets quality standards,Implement social media API error handling,Given API returns rate limit error When error is caught Then system must retry with exponential backoff up to 3 times,As a data engineer I want robust error handling for social media APIs so that temporary failures don't break the pipeline
AML-623,100,99.71,99.88,GOOD,Ticket meets quality standards,Implement social media data quality checks,Given social media data is ingested When quality checks run Then completeness timeliness and accuracy metrics must be calculated,As a data quality analyst I want to validate social media data quality so that downstream analysis is reliable
AML-626,100,100.0,100.0,GOOD,Ticket meets quality standards,Implement social media alert grouping,Given multiple alerts reference same customer or same keyword When grouping runs Then alerts must be combined into single case,As an investigator I want related social media alerts to be grouped so that I can investigate connected incidents together
AML-629,100,100.0,100.0,GOOD,Ticket meets quality standards,Implement social media data anonymization,Given social media post contains PII When anonymization runs Then name location and contact info must be masked,As a privacy officer I want social media data anonymized before storage so that customer privacy is protected
AML-632,100,97.61,99.04,GOOD,Ticket meets quality standards,Detect peer-to-peer lending money laundering,Given customer participates in P2P lending When loan amount and repayment pattern matches laundering signature Then generate Structuring Alert,As a fraud analyst I want to detect money laundering through peer-to-peer lending platforms so that we catch layering schemes
AML-635,100,99.02,99.61,GOOD,Ticket meets quality standards,Build trade-based money laundering detection,Given import/export data is ingested When invoice amount deviates from market price by more than 30 percent Then generate TBML Alert,As a compliance officer I want to detect trade-based money laundering through invoice manipulation so that we identify over/under invoicing schemes
AML-638,100,98.33,99.33,GOOD,Ticket meets quality standards,Build smurfing detection for structured deposits,Given multiple deposits to same account When individual deposits are under $10000 but sum exceeds $30000 in 7 days Then generate Structuring Alert,As a fraud analyst I want to detect smurfing where large amounts are broken into smaller deposits so that we identify structuring attempts
AML-642,100,98.46,99.38,GOOD,Ticket meets quality standards,Build tax evasion detection for offshore accounts,Given customer has offshore accounts When deposits exceed declared income by 50% Then generate Tax Evasion Alert,As a compliance analyst I want to detect tax evasion patterns involving offshore accounts so that we identify unreported income
AML-645,100,98.99,99.6,GOOD,Ticket meets quality standards,Build art market money laundering detection,Given art purchase exceeds $100000 When transaction pattern matches known typologies Then generate Art Market Alert,As a compliance officer I want to detect money laundering through high-value art purchases so that we identify art-based layering
AML-648,100,99.21,99.68,GOOD,Ticket meets quality standards,Build decentralized finance monitoring,Given customer uses DeFi platform When transaction volume exceeds $50000 Then generate DeFi Alert,As a compliance officer I want to monitor DeFi transactions for money laundering so that we detect laundering through DeFi protocols
AML-653,100,99.01,99.6,GOOD,Ticket meets quality standards,Implement data quality alerts for missing fields,Given data ingestion runs When missing critical fields are detected Then alert must be sent to data engineering team,As a data quality analyst I want to receive alerts when critical data fields are missing so that we fix upstream data issues
AML-656,100,99.66,99.86,GOOD,Ticket meets quality standards,Implement data quality rules for customer master,Given customer data is ingested When duplicate customer is detected Then system must reject and log for manual review,As a data quality analyst I want to implement validation rules for customer master data so that duplicates are prevented
AML-659,100,99.67,99.87,GOOD,Ticket meets quality standards,Implement data quality score for AML alerts,Given alert is generated When data quality score is calculated Then alert metadata must include source data quality score,As a compliance analyst I want to see data quality score associated with each AML alert so that we can trust alert decisions
AML-663,100,99.36,99.74,GOOD,Ticket meets quality standards,Build data quality trend analysis,Given historical quality metrics are stored When trend analysis runs Then alerts must be triggered for consistent degradation,As a data governance officer I want to analyze data quality trends over time so that we identify deteriorating data sources
AML-668,100,99.17,99.67,GOOD,Ticket meets quality standards,Build partition management automation,Given table has monthly partitions When partition age exceeds 6 months Then it must be moved to archive storage,As a DBA I want automated partition management for large tables so that old data is archived without manual intervention
AML-673,100,97.12,98.85,GOOD,Ticket meets quality standards,Create resource utilization dashboard,Given system metrics are collected When dashboard refreshes Then historical trends and current usage must be displayed,As a system administrator I want to see CPU memory and disk utilization so that capacity planning is informed
AML-679,100,97.88,99.15,GOOD,Ticket meets quality standards,Build auto-scaling for processing jobs,Given job queue length increases When auto-scaling triggers Then additional workers must be provisioned automatically,As a DevOps engineer I want auto-scaling for processing jobs so that resources match workload
AML-684,100,96.89,98.75,GOOD,Ticket meets quality standards,Implement connection retry logic,Given connection fails temporarily When retry logic runs Then job must retry up to 3 times with backoff,As a developer I want retry logic for database connections so that transient failures don't cause job failures
AML-688,100,99.08,99.63,GOOD,Ticket meets quality standards,Implement audit logging for all data access,Given user accesses customer data When access occurs Then audit record must include user_id timestamp and data accessed,As a compliance officer I want audit logs for all data access so that unauthorized access is detectable
AML-692,100,97.22,98.89,GOOD,Ticket meets quality standards,Implement vulnerability scanning pipeline,Given code is committed When security scan runs Then critical vulnerabilities must fail the build,As a security engineer I want automated vulnerability scanning in CI/CD so that vulnerabilities are caught before deployment
AML-696,100,99.39,99.75,GOOD,Ticket meets quality standards,Implement data loss prevention controls,Given user attempts to export PII data When DLP rule matches Then export must be blocked and logged,As a compliance officer I want DLP controls for sensitive data so that data exfiltration is prevented
AML-700,100,99.33,99.73,GOOD,Ticket meets quality standards,Implement file integrity monitoring,Given critical configuration file changes When FIM detects Then alert must be generated with before and after values,As a security analyst I want file integrity monitoring for critical configuration so that unauthorized changes are detected
AML-703,100,98.95,99.58,GOOD,Ticket meets quality standards,Implement real-time transaction monitoring dashboard,Given transactions are processed When dashboard refreshes every 30 seconds Then new alerts must appear with color-coded priority,As an investigator I want to see real-time transaction monitoring dashboard so that suspicious activities are visible immediately
AML-705,100,99.61,99.84,GOOD,Ticket meets quality standards,Create customer risk profile enrichment from external data,Given external data sources are available When enrichment runs Then customer risk score must be updated with external factors,As a risk analyst I want to enrich customer risk profiles with external data sources so that risk assessment is comprehensive
AML-709,100,98.92,99.57,GOOD,Ticket meets quality standards,Implement customer due diligence automation,Given customer submits application When CDD runs Then risk assessment must complete within 2 minutes,As a compliance officer I want automated CDD for new customers so that onboarding is faster
AML-713,100,97.86,99.14,GOOD,Ticket meets quality standards,Build geographic risk scoring for transactions,Given transaction has origin and destination countries When risk score is calculated Then high-risk countries must increase score,As a risk analyst I want geographic risk scoring so that transactions from high-risk countries are flagged
AML-742,100,0.01,60.0,BAD,Semantic hollowness: Vague statement detected,Do whatever is needed for compliance,Given compliance requirements exist When I do the needful Then the system should be compliant,As a developer I want to do whatever is needed to make the system compliant so that we pass the audit
AML-744,100,0.27,60.11,BAD,Semantic hollowness: Vague statement detected,Complete the tasks assigned,Given tasks are assigned When I complete them Then the sprint should be successful,As a developer I want to complete the tasks that were assigned to me so that the sprint goals are met
AML-746,100,1.31,60.52,BAD,Semantic hollowness: Vague statement detected,Address all concerns raised,Given concerns were raised When I address them Then they should be resolved,As a developer I want to address all concerns that were raised by the stakeholders so that everyone is happy
AML-748,100,0.57,60.23,BAD,Semantic hollowness: Vague statement detected,Deliver the pending deliverables,Given deliverables are pending from last quarter When I deliver them Then the project should be on schedule,As a developer I want to deliver the pending deliverables from last quarter so that the project stays on track
AML-750,100,0.06,60.03,BAD,Semantic hollowness: Vague statement detected,Complete the work as per standard operating procedure,Given SOP is defined When I follow it Then the work should be done correctly,As a developer I want to complete the work following the standard operating procedure so that the process is consistent
AML-752,100,0.16,60.06,BAD,Semantic hollowness: Vague statement detected,Implement the changes requested by QA,Given QA provided feedback When I implement the changes Then the quality should improve,As a developer I want to implement the changes that were requested by the QA team so that the quality gates are met
AML-754,100,0.44,60.18,BAD,Semantic hollowness: Vague statement detected,Make it happen as planned,Given the plan is defined When I execute Then the work should be completed on time,As a developer I want to make it happen as planned in the project timeline so that we meet our commitments
AML-756,100,0.06,60.02,BAD,Semantic hollowness: Vague statement detected,Complete the remaining work,Given work remains When I complete it Then the sprint should be successful,As a developer I want to complete the remaining work from the current sprint so that we achieve our sprint goal
AML-758,100,0.29,60.12,BAD,Semantic hollowness: Vague statement detected,Do what was discussed in the email,Given the email contains discussion When I implement Then it should work as described,As a developer I want to do what was discussed in the email thread so that everyone is aligned
AML-760,100,0.28,60.11,BAD,Semantic hollowness: Vague statement detected,Complete the tasks from the backlog,Given backlog items exist When I complete them Then the backlog should be smaller,As a developer I want to complete the tasks that are in the backlog so that the product backlog is refined
AML-762,100,0.03,60.01,BAD,Semantic hollowness: Vague statement detected,Do the needful as per the conversation,Given the conversation happened When I do the needful Then the work should be completed,As a developer I want to do the needful as per our conversation with the business team so that requirements are met
AML-766,100,0.44,60.18,BAD,Semantic hollowness: Vague statement detected,Do what we agreed upon,Given the agreement was made When I do it Then it should meet expectations,As a developer I want to do what we agreed upon in the planning session so that everyone is aligned
AML-769,100,0.21,60.08,BAD,Semantic hollowness: Vague statement detected,Address the points raised in review,Given review comments exist When I address them Then the design should be approved,As a developer I want to address the points that were raised in the design review so that the design is approved
AML-772,100,0.28,60.11,BAD,Semantic hollowness: Vague statement detected,Make the changes as per the ticket,Given ticket has description When I make changes Then the issue should be fixed,As a developer I want to make the changes as per the ticket that was assigned to me so that the issue is resolved
AML-775,100,0.31,60.12,BAD,Semantic hollowness: Vague statement detected,Do the work as per the standard,Given standards are defined When I follow them Then the quality should be good,As a developer I want to do the work as per the standard that has been defined so that quality is maintained
AML-778,100,0.55,60.22,BAD,Semantic hollowness: Vague statement detected,Address the comments on the PR,Given reviewer made comments When I address them Then the PR should be approved,As a developer I want to address the comments that were made on my pull request so that it can be merged
AML-781,100,0.32,60.13,BAD,Semantic hollowness: Vague statement detected,Make the changes as discussed on the call,Given call had discussion When I make changes Then it should match the discussion,As a developer I want to make the changes as discussed on the team call so that everyone is aligned
AML-784,100,0.61,60.25,BAD,Semantic hollowness: Vague statement detected,Do what was planned,Given plan exists When I execute Then the work should be on schedule,As a developer I want to do what was planned in the project schedule so that we stay on track
AML-787,100,0.21,60.09,BAD,Semantic hollowness: Vague statement detected,Address the issues from UAT,Given UAT defects exist When I fix them Then the user should accept the system,As a developer I want to address the issues that were found during UAT so that the system is accepted
AML-790,100,0.14,60.06,BAD,Semantic hollowness: Vague statement detected,Make it work like the specification,Given spec is detailed When I implement Then it should match the spec,As a developer I want to make it work like the specification describes so that the implementation is correct
AML-793,100,0.05,60.02,BAD,Semantic hollowness: Vague statement detected,Implement the changes from the walkthrough,Given walkthrough feedback exists When I implement Then the design should be approved,As a developer I want to implement the changes that were identified in the design walkthrough so that the design is solid
AML-796,100,0.26,60.1,BAD,Semantic hollowness: Vague statement detected,Complete the pending tasks,Given tasks are pending When I complete them Then they should be done,As a developer I want to complete the tasks that are pending from last sprint so that we close them
AML-799,100,0.11,60.04,BAD,Semantic hollowness: Vague statement detected,Do the needful for the migration,Given migration plan exists When I do the needful Then data should be migrated,As a developer I want to do the needful for the data migration so that the data is moved correctly
AML-802,100,1.72,60.69,BAD,Semantic hollowness: Vague statement detected,Do whatever is required for the release,Given release date is fixed When I do whatever is needed Then the release should happen on time,As a developer I want to do whatever is required to get the release out so that we meet the deadline
AML-805,100,0.18,60.07,BAD,Semantic hollowness: Vague statement detected,Address the feedback from the stakeholder,Given feedback was provided When I address it Then the stakeholder should approve,As a developer I want to address the feedback that came from the stakeholder meeting so that they are happy
AML-808,100,0.43,60.17,BAD,Semantic hollowness: Vague statement detected,Make the changes as per the ticket description,Given ticket has description When I make changes Then the issue should be fixed,As a developer I want to make the changes as per the description in the ticket so that the issue is resolved
AML-811,100,0.15,60.06,BAD,Semantic hollowness: Vague statement detected,Implement what was discussed in the standup,Given discussion happened When I implement Then it should work as talked,As a developer I want to implement what was discussed in the daily standup meeting so that the team is aligned
AML-814,100,0.23,60.09,BAD,Semantic hollowness: Vague statement detected,Complete the work as per the schedule,Given schedule is defined When I complete Then the project should be on time,As a developer I want to complete the work as per the project schedule so that we stay on track
AML-817,100,0.62,60.25,BAD,Semantic hollowness: Vague statement detected,Do what was agreed in the meeting,Given agreement was made When I do it Then the product owner should approve,As a developer I want to do what was agreed in the meeting with the product owner so that requirements are met
AML-820,100,0.16,60.07,BAD,Semantic hollowness: Vague statement detected,Address the concerns from the audit,Given audit findings exist When I address them Then the system should be compliant,As a developer I want to address the concerns that were raised by the internal audit so that compliance is maintained
AML-823,100,0.18,60.07,BAD,Semantic hollowness: Vague statement detected,Make it work like the sample implementation,Given sample code exists When I implement Then it should follow the same patterns,As a developer I want to make it work like the sample implementation that was shared so that we follow best practices
AML-826,100,0.06,60.02,BAD,Semantic hollowness: Vague statement detected,Implement the changes from the walkthrough,Given walkthrough feedback exists When I implement Then the code should be better,As a developer I want to implement the changes that were identified in the code walkthrough so that the code quality improves
AML-829,100,0.28,60.11,BAD,Semantic hollowness: Vague statement detected,Complete the tasks from the retrospective,Given action items exist When I complete them Then the process should improve,As a developer I want to complete the action items from the sprint retrospective so that we improve our process
AML-832,100,0.18,60.07,BAD,Semantic hollowness: Vague statement detected,Do the needful for the performance testing,Given performance test requirements exist When I do the needful Then tests can run,As a developer I want to do the needful to prepare for performance testing so that the system is ready
AML-835,100,0.4,60.16,BAD,Semantic hollowness: Vague statement detected,Address the feedback from the demo session,Given feedback was provided When I address it Then the stakeholders should approve,As a developer I want to address the feedback from the demo session so that stakeholders are happy
AML-838,100,0.08,60.03,BAD,Semantic hollowness: Vague statement detected,Make the changes as per the specification,Given specification exists When I make changes Then it should match the spec,As a developer I want to make the changes as per the updated specification so that the system meets requirements
AML-841,100,0.07,60.03,BAD,Semantic hollowness: Vague statement detected,Implement the solution as per the guidelines,Given guidelines exist When I implement Then the code should follow them,As a developer I want to implement the solution as per the coding guidelines that the team follows so that code is consistent
AML-844,100,0.03,60.01,BAD,Semantic hollowness: Vague statement detected,Complete the work from the incident tickets,Given incident tickets exist When I complete them Then the issues should be resolved,As a developer I want to complete the work from the incident tickets that were raised in production so that the system is stable
AML-847,100,0.24,60.09,BAD,Semantic hollowness: Vague statement detected,Do what was discussed in the workshop,Given workshop discussion happened When I do it Then the requirements should be met,As a developer I want to do what was discussed in the requirements workshop so that the stakeholders are satisfied
AML-850,100,0.28,60.11,BAD,Semantic hollowness: Vague statement detected,Address the concerns from the compliance team,Given compliance concerns exist When I address them Then the system should pass audit,As a developer I want to address the concerns from the compliance team so that the system is compliant
AML-853,100,0.18,60.07,BAD,Semantic hollowness: Vague statement detected,Make it work like the reference implementation,Given reference implementation exists When I implement Then it should follow the same approach,As a developer I want to make it work like the reference implementation that was provided so that we follow the pattern
