,Issue key,Rule_Score,ML_Score,Hybrid_Score,Tier,Explanation,Summary,Description
39,AML-040,85,1.812014993615012,60.0436044980845,BAD,Semantic hollowness: Vague language detected. | Due date is missing or invalid | Missing Assignee,Implement restart capability for failed jobs,As a data engineer I want failed jobs to resume from last checkpoint
40,AML-041,100,98.45951181475169,99.5378535444255,GOOD,Ticket meets all quality standards.,Create technical design document for AML scenarios,As an architect I want detailed design document for all 12 AML scenarios so that developers have clear specifications
41,AML-042,100,99.39416174636953,99.81824852391085,GOOD,Ticket meets all quality standards.,Implement customer watchlist screening,As a compliance officer I want to screen customers against global sanctions lists so that prohibited relationships are identified
42,AML-043,100,99.33507797360028,99.80052339208008,GOOD,Ticket meets all quality standards.,Implement PEP (Politically Exposed Person) detection,As a compliance officer I want to identify PEP customers so that enhanced due diligence applies
43,AML-044,100,99.12252446511522,99.73675733953456,GOOD,Ticket meets all quality standards.,Create SAR (Suspicious Activity Report) generation module,As a compliance officer I want to generate regulatory SAR filings so that required disclosures are submitted on time
44,AML-045,100,98.45911628894333,99.537734886683,GOOD,Ticket meets all quality standards.,Implement case management workflow,As an investigator I want to assign and track alert cases so that workload is distributed and SLA is monitored
45,AML-046,80,97.89310976892905,85.3679329306787,GOOD,Ticket meets all quality standards.,Create weekly MIS report for management,As a compliance manager I want weekly metrics report
46,AML-047,100,98.45994842253768,99.5379845267613,GOOD,Ticket meets all quality standards.,Build historical data loader for past 5 years,As a data engineer I want to load 5 years of historical data so that back-testing AML scenarios is possible
47,AML-048,100,99.14812858667894,99.74443857600369,GOOD,Ticket meets all quality standards.,Implement data retention policy for alerts,As a DBA I want to retain alerts for 7 years as required by regulation so that audit queries are possible
48,AML-049,100,98.45986769611021,99.53796030883306,GOOD,Ticket meets all quality standards.,Create user training manual for operations team,As a trainer I want to create user manual so that operations team can use NORKOM UI effectively
49,AML-050,100,99.2502001061865,99.77506003185594,GOOD,Ticket meets all quality standards.,Implement role-based access control in UI,As a security admin I want RBAC in NORKOM UI so that users see only authorized data
50,AML-051,80,98.47186985575713,85.54156095672714,GOOD,Ticket meets all quality standards.,Set up automated backup for Oracle database,As a DBA I want daily automated backups
51,AML-052,100,99.11220300786796,99.73366090236038,GOOD,Ticket meets all quality standards.,Implement data lineage tracking,As a data governance officer I want to trace data from source to alert so that audit trails are complete
52,AML-053,100,99.30784474526362,99.79235342357909,GOOD,Ticket meets all quality standards.,Create smoke test suite for deployment,As a DevOps engineer I want automated smoke tests so that deployments validate core functionality
53,AML-054,100,99.35135087892638,99.80540526367791,GOOD,Ticket meets all quality standards.,Implement alert prioritization scoring,As a compliance officer I want alerts to have priority score so that investigators focus on highest risk first
54,AML-055,75,4.8701743037406375,53.96105229112219,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Create feedback loop for false positive analysis,As a data scientist I want to track false positives
55,AML-056,100,98.46186380016837,99.53855914005051,GOOD,Ticket meets all quality standards.,Implement bulk export of alerts for regulatory audit,As a compliance officer I want to export all alerts for a date range so that auditors can review
56,AML-057,100,98.87828139877105,99.66348441963132,GOOD,Ticket meets all quality standards.,Optimize Oracle indexes for query performance,As a DBA I want to analyze and optimize indexes so that dashboard queries run faster
57,AML-058,90,0.3595110632595083,63.107853318977845,GOOD,Ticket meets all quality standards.,Implement dead letter queue for failed records,As a data engineer I want failed records sent to dead letter queue
58,AML-059,100,98.54744835407982,99.56423450622394,GOOD,Ticket meets all quality standards.,Create data dictionary for all tables,As a technical writer I want to document all database tables and columns so that new developers understand schema
59,AML-060,90,98.46360657757862,92.53908197327357,GOOD,Ticket meets all quality standards.,Implement S3 backup for processed files,As a data engineer I want to backup processed files to AWS S3 so that reprocessing is possible if needed
60,AML-061,100,98.96473779030165,99.6894213370905,GOOD,Ticket meets all quality standards.,Set up Grafana monitoring dashboard,As an operations lead I want to monitor system health in real-time so that issues are detected proactively
61,AML-062,45,90.30925345352215,58.59277603605664,BAD,Missing User Story format | Due date is missing or invalid | Missing Priority | Missing Category | Missing Assignee | Missing Sub-area,API Integration,I want to Fix GET API so that data issue fixed
62,AML-063,100,99.34786926339443,99.80436077901832,GOOD,Ticket meets all quality standards.,Create data quality rules engine,As a data quality analyst I want configurable rules to validate incoming data so that quality standards are enforced
63,AML-064,100,98.84921904083465,99.6547657122504,GOOD,Ticket meets all quality standards.,Implement schema drift detection,As a data engineer I want to detect when source file format changes so that ETL doesn't break silently
64,AML-065,100,98.46169148506459,99.53850744551937,GOOD,Ticket meets all quality standards.,Build reconciliation dashboard for operations,As an operations lead I want to see daily reconciliation status so that data loss is caught early
65,AML-066,100,98.46219073112155,99.53865721933647,GOOD,Ticket meets all quality standards.,Implement automatic retry for transient failures,As a data engineer I want failed jobs to retry automatically so that temporary issues don't require manual intervention
66,AML-067,75,90.2414520548765,79.57243561646295,GOOD,Ticket meets all quality standards.,Create onboarding documentation for new developers,As a team lead I want comprehensive onboarding docs
67,AML-068,100,99.2502488967564,99.77507466902692,GOOD,Ticket meets all quality standards.,Implement sliding window for velocity detection,As a fraud analyst I want configurable time window for transaction velocity so that detection adapts to fraud patterns
68,AML-069,100,99.37801703696955,99.81340511109087,GOOD,Ticket meets all quality standards.,Threshold tuning interface for CO,As a compliance officer I want UI to tune alert thresholds so that false positives can be reduced without IT involvement
69,AML-070,100,96.01993762172964,98.80598128651889,GOOD,Ticket meets all quality standards.,Implement detailed logging of all scenario executions,As an auditor I want logs of every scenario run so that execution is traceable
70,AML-071,80,7.0562703914685105,58.116881117440556,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Missing Assignee,Create integration tests for each AML scenario,As a QA engineer I want automated integration tests for 12 scenarios
71,AML-072,100,99.50122362967953,99.85036708890385,GOOD,Ticket meets all quality standards.,Implement hash-based deduplication for incoming files,As a data engineer I want to detect duplicate file submissions so that same data isn't processed twice
72,AML-073,100,98.46007256527389,99.53802176958217,GOOD,Ticket meets all quality standards.,Build customer 360 view for investigators,As an investigator I want to see complete customer profile so that I have context for alert review
73,AML-074,100,99.679080995083,99.9037242985249,GOOD,Ticket meets all quality standards.,Implement alert aging report,As a compliance manager I want to know which alerts are aging so that SLAs are met
74,AML-075,75,5.209167208676804,54.06275016260304,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Create post-deployment verification checklist,As a DevOps engineer I want verification checklist
75,AML-076,100,98.45835723114244,99.53750716934273,GOOD,Ticket meets all quality standards.,Implement rate limiting for API endpoints,As a security engineer I want rate limiting on API so that DDoS attacks are mitigated
76,AML-077,100,99.20383742231412,99.76115122669424,GOOD,Ticket meets all quality standards.,Build automation for certificate rotation,As a security engineer I want automated certificate renewal so that integrations don't break due to expired certs
77,AML-078,100,98.46142738778106,99.53842821633432,GOOD,Ticket meets all quality standards.,Implement audit trail for threshold changes,As a compliance officer I want all threshold changes logged so that regulatory audit is satisfied
78,AML-079,100,99.67338098042853,99.90201429412856,GOOD,Ticket meets all quality standards.,Create weekly data quality report,As a data governance officer I want weekly report on data quality issues so that upstream fixes can be prioritized
79,AML-080,100,98.45980198208355,99.53794059462507,GOOD,Ticket meets all quality standards.,Implement notification for long-running jobs,As an operations lead I want alerts when jobs exceed expected duration so that performance issues are caught
80,AML-081,90,98.46119827583749,92.53835948275125,GOOD,Ticket meets all quality standards.,Build source code repository with CI/CD,As a DevOps engineer I want GitHub Actions pipeline so that code changes are automatically tested
81,AML-082,100,99.56107798576569,99.8683233957297,GOOD,Ticket meets all quality standards.,Implement encryption at rest for sensitive data,As a security architect I want all PII data encrypted at rest so that data breach impact is minimized
82,AML-083,100,99.07680217716035,99.7230406531481,GOOD,Ticket meets all quality standards.,Create incident response playbook,As a security manager I want documented incident response procedures so that team knows how to handle security events
83,AML-084,90,98.98104546949456,92.69431364084836,GOOD,Ticket meets all quality standards.,Implement VPN access for developers,As a network engineer I want all development access through VPN so that production environment is protected
84,AML-085,100,99.37143462781552,99.81143038834466,GOOD,Ticket meets all quality standards.,Create SLA dashboard for management,As a program manager I want SLA compliance dashboard so that I can track team performance
85,AML-086,75,75.2581257024713,75.07743771074139,GOOD,Ticket meets all quality standards.,Implement logging aggregation with ELK stack,As an operations lead I want centralized logging
86,AML-087,100,98.46129625384326,99.53838887615298,GOOD,Ticket meets all quality standards.,Build automated regression test suite,As a QA engineer I want regression tests that run nightly so that new bugs are caught early
87,AML-088,100,98.4605735488357,99.53817206465071,GOOD,Ticket meets all quality standards.,Implement feature flags for scenario rollout,As a developer I want feature flags so that new scenarios can be rolled out gradually
88,AML-089,80,94.63540372439083,84.39062111731725,GOOD,Ticket meets all quality standards.,Create monthly regulatory filing report,As a compliance officer I want monthly SAR filing summary
89,AML-090,100,99.21519019446082,99.76455705833824,GOOD,Ticket meets all quality standards.,Implement data validation framework,As a data engineer I want configurable validation rules so that new data sources can be onboarded quickly
90,AML-091,90,20.876326299095542,69.26289788972865,GOOD,Ticket meets all quality standards.,Build dependency graph visualizer for Control-M,As a batch operator I want to see job dependency graph
91,AML-092,100,99.3027731958919,99.79083195876757,GOOD,Ticket meets all quality standards.,Implement canary deployments for UI changes,As a DevOps engineer I want canary deployments so that UI changes are tested with small user group first
92,AML-093,100,99.71839121419114,99.91551736425734,GOOD,Ticket meets all quality standards.,Create performance benchmark baseline,As a performance engineer I want baseline metrics so that regressions are detected automatically
93,AML-094,100,98.4635404008188,99.53906212024563,GOOD,Ticket meets all quality standards.,Implement circuit breaker for external calls,As a developer I want circuit breaker pattern so that NORKOM API failures don't cascade
94,AML-095,75,43.97603706680916,65.69281112004275,GOOD,Ticket meets all quality standards.,Create developer productivity metrics dashboard,As a team lead I want to track developer productivity
95,AML-096,100,99.42537941888418,99.82761382566525,GOOD,Ticket meets all quality standards.,Implement database connection pooling,As a developer I want connection pooling for Oracle so that performance improves and connections are reused
96,AML-097,100,98.65434757233436,99.5963042717003,GOOD,Ticket meets all quality standards.,Build data catalog with business glossary,As a data governance officer I want business glossary so that business users understand data elements
97,AML-098,100,98.4607709795781,99.53823129387342,GOOD,Ticket meets all quality standards.,Implement role-based data masking,As a security analyst I want dynamic data masking based on user role so that PII exposure is minimized
98,AML-099,100,98.46073894563408,99.53822168369022,GOOD,Ticket meets all quality standards.,Create automated failover for Oracle,As a DBA I want automatic failover to standby database so that downtime is minimized
99,AML-100,100,98.65336847117283,99.59601054135184,GOOD,Ticket meets all quality standards.,Implement batch job SLA monitoring,As an operations lead I want real-time SLA monitoring for batch jobs so that delays are caught early
100,AML-101,100,98.45897063617167,99.5376911908515,GOOD,Ticket meets all quality standards.,Finalize AML solution requirements with HSBC US compliance team,As a PO I want to get requirements signed off by HSBC US compliance so that development has clear scope
101,AML-102,100,98.46174214509631,99.53852264352889,GOOD,Ticket meets all quality standards.,Obtain architecture approval from enterprise architects,As a solution architect I want approval from enterprise architecture board so that solution aligns with bank standards
102,AML-103,100,99.67022939186488,99.90106881755946,GOOD,Ticket meets all quality standards.,Secure funding approval for AML project,As a program manager I want funding committee approval so that project resources are allocated
103,AML-104,100,99.03506545711878,99.71051963713563,GOOD,Ticket meets all quality standards.,Create project charter and get sponsor sign-off,As a project manager I want signed project charter so that project has formal authorization
104,AML-105,80,12.515474187158066,59.75464225614742,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Missing Assignee,Define RACI matrix for AML project stakeholders,As a project manager I want clear RACI matrix so that roles and responsibilities are documented
105,AML-106,100,98.46110050584402,99.5383301517532,GOOD,Ticket meets all quality standards.,Procure NORKOM software license,As a procurement manager I want to purchase NORKOM license so that AML scenario engine can be deployed
106,AML-107,100,99.73913767141647,99.92174130142494,GOOD,Ticket meets all quality standards.,Allocate HSBC US data access approvals,As a data engineer I want formal approval to access HSBC US customer data so that I can build ETL pipelines
107,AML-108,90,98.46005793735144,92.53801738120542,GOOD,Ticket meets all quality standards.,Create project management plan,As a project manager I want detailed project plan so that timeline and milestones are tracked
108,AML-109,100,98.46239284584783,99.53871785375435,GOOD,Ticket meets all quality standards.,Define sprint plan for 12 two-week sprints,As a Scrum Master I want sprint plan so that development follows agile methodology
109,AML-110,90,98.46299023438371,92.5388970703151,GOOD,Ticket meets all quality standards.,Conduct vendor assessment for NORKOM,As a procurement lead I want formal vendor assessment so that NORKOM is validated against requirements
110,AML-111,90,98.46112216075063,92.53833664822518,GOOD,Ticket meets all quality standards.,Setup project repository on GitHub Enterprise,As a developer I want GitHub repository so that code is version controlled
111,AML-112,100,95.08368205049035,98.5251046151471,GOOD,Ticket meets all quality standards.,Create technical specification document for ETL layer,As a technical architect I want detailed ETL spec so that developers have clear implementation guide
112,AML-113,90,98.46147284600798,92.53844185380238,GOOD,Ticket meets all quality standards.,Complete security risk assessment,As a security analyst I want formal risk assessment for AML solution so that vulnerabilities are identified and mitigated
113,AML-114,100,98.72948701618259,99.61884610485478,GOOD,Ticket meets all quality standards.,Define data retention policy for AML system,As a compliance officer I want approved data retention policy so that system complies with recordkeeping rules
114,AML-115,90,98.45951590536207,92.53785477160861,GOOD,Ticket meets all quality standards.,Obtain legal review of NORKOM contract,As a legal counsel I want to review NORKOM contract so that bank is protected
115,AML-116,90,98.46101944217217,92.53830583265164,GOOD,Ticket meets all quality standards.,Conduct stakeholder kickoff meeting,As a project manager I want kickoff meeting so that all stakeholders are aligned
116,AML-117,90,98.4578653095022,92.53735959285065,GOOD,Ticket meets all quality standards.,Create onboarding plan for new team members,As a team lead I want structured onboarding plan so that new hires are productive quickly
117,AML-118,100,98.74087221098445,99.62226166329533,GOOD,Ticket meets all quality standards.,Define UAT test scenarios with HSBC US,As a business analyst I want UAT test scenarios defined by HSBC US team so that acceptance testing covers real use cases
118,AML-119,90,98.4586068677726,92.53758206033177,GOOD,Ticket meets all quality standards.,Establish SLAs with infrastructure team,As a project manager I want formal SLAs from infrastructure team so that support expectations are clear
119,AML-120,100,99.27875745577904,99.78362723673371,GOOD,Ticket meets all quality standards.,Create training plan for operations team,As a trainer I want training plan for operations team so that they can use NORKOM UI effectively
120,AML-121,90,98.46041837599608,92.53812551279881,GOOD,Ticket meets all quality standards.,Document lessons learned from previous AML projects,As a project manager I want lessons learned document so that past mistakes are avoided
121,AML-122,90,98.46336719582452,92.53901015874735,GOOD,Ticket meets all quality standards.,Define change management process,As a project manager I want formal change control process so that scope changes are managed
122,AML-123,90,98.46296214988645,92.53888864496592,GOOD,Ticket meets all quality standards.,Create communication plan for stakeholders,As a project manager I want communication plan so that stakeholders receive regular updates
123,AML-124,100,98.46084709131404,99.53825412739421,GOOD,Ticket meets all quality standards.,Conduct compliance gap analysis,As a compliance analyst I want gap analysis against regulations so that system meets all requirements
124,AML-125,90,99.60414551930799,92.88124365579239,GOOD,Ticket meets all quality standards.,Obtain data sharing agreement with legacy system owners,As a data engineer I want formal agreement to access legacy system data so that data ingestion is authorized
125,AML-126,90,98.46178285402021,92.53853485620606,GOOD,Ticket meets all quality standards.,Define disaster recovery requirements,As a DR coordinator I want DR requirements documented so that recovery meets business needs
126,AML-127,90,98.458521301825,92.5375563905475,GOOD,Ticket meets all quality standards.,Create vendor exit strategy,As a procurement lead I want exit strategy for NORKOM so that bank is not locked in
127,AML-128,90,98.60714710221504,92.5821441306645,GOOD,Ticket meets all quality standards.,Establish weekly status reporting cadence,As a project manager I want weekly status report template so that progress is tracked consistently
128,AML-129,90,99.57809310439303,92.8734279313179,GOOD,Ticket meets all quality standards.,Conduct privacy impact assessment,As a privacy officer I want PIA completed so that customer data handling is compliant with GDPR and CCPA
129,AML-130,90,98.46193809156784,92.53858142747035,GOOD,Ticket meets all quality standards.,Create bug tracking process in Jira,As a QA lead I want standardized bug tracking process so that defects are managed consistently
130,AML-131,90,99.53837176271915,92.86151152881574,GOOD,Ticket meets all quality standards.,Define release management process,As a release manager I want formal release process so that deployments are controlled
131,AML-132,90,98.68917885438529,92.60675365631558,GOOD,Ticket meets all quality standards.,Document system architecture diagram,As a technical architect I want architecture diagram so that system design is visualized
132,AML-133,100,98.21556878220161,99.46467063466048,GOOD,Ticket meets all quality standards.,Create capacity planning document,As a capacity planner I want capacity analysis so that infrastructure scales appropriately
133,AML-134,90,99.32701877570358,92.79810563271107,GOOD,Ticket meets all quality standards.,Define non-functional requirements,As a technical architect I want NFRs documented so that quality attributes are measured
134,AML-135,90,98.25960433945299,92.4778813018359,GOOD,Ticket meets all quality standards.,Conduct vendor technical review of NORKOM,As a technical lead I want deep technical review of NORKOM so that integration risks are identified
135,AML-136,100,99.36988995450876,99.81096698635262,GOOD,Ticket meets all quality standards.,Create data migration plan from legacy system,As a data engineer I want migration plan so that historical data is moved correctly
136,AML-137,100,99.15595368136357,99.74678610440907,GOOD,Ticket meets all quality standards.,Define test data management strategy,As a QA lead I want test data strategy so that testing uses realistic but compliant data
137,AML-138,100,98.4599249504539,99.53797748513617,GOOD,Ticket meets all quality standards.,Conduct security architecture review,As a security architect I want formal review of security controls so that solution meets bank standards
138,AML-139,90,99.10272015792391,92.73081604737716,GOOD,Ticket meets all quality standards.,Create operational runbook for support team,As an operations lead I want runbook so that L1 support can handle common issues
139,AML-140,90,98.58876043858795,92.57662813157637,GOOD,Ticket meets all quality standards.,Define quality gates for each sprint,As a Scrum Master I want quality gates so that each sprint meets quality bar
140,AML-141,90,97.7500506457218,92.32501519371652,GOOD,Ticket meets all quality standards.,Create product backlog prioritization framework,As a PO I want backlog prioritization criteria so that we work on highest value items first
141,AML-142,90,98.46253743448433,92.53876123034529,GOOD,Ticket meets all quality standards.,Document API contracts between components,As a developer I want API contracts so that interface boundaries are clear
142,AML-143,90,98.57865102789266,92.57359530836779,GOOD,Ticket meets all quality standards.,Define incident severity levels and response times,As an operations manager I want severity definitions so that incidents are prioritized correctly
143,AML-144,90,98.46171437179652,92.53851431153895,GOOD,Ticket meets all quality standards.,Create continuous improvement register,As a Scrum Master I want improvement register so that team learns from retrospectives
144,AML-145,90,98.46119397174674,92.53835819152401,GOOD,Ticket meets all quality standards.,Define code review guidelines,As a tech lead I want code review standards so that code quality is consistent
145,AML-146,90,99.06145927049941,92.71843778114982,GOOD,Ticket meets all quality standards.,Conduct performance baseline testing,As a performance engineer I want baseline metrics for 100K transactions before optimization
146,AML-147,100,98.4632488990029,99.53897466970088,GOOD,Ticket meets all quality standards.,Create technical debt register,As a tech lead I want technical debt tracked so that we prioritize refactoring
147,AML-148,100,98.4575945501099,99.53727836503296,GOOD,Ticket meets all quality standards.,Define rollback procedure for failed deployment,As a DevOps engineer I want rollback plan so that failed deployments can be undone quickly
148,AML-149,90,98.46080131667614,92.53824039500283,GOOD,Ticket meets all quality standards.,Create user story mapping session output,As a PO I want story map for AML feature so that we understand end-to-end user journey
149,AML-150,90,98.61388983999689,92.58416695199907,GOOD,Ticket meets all quality standards.,Define minimum viable product scope,As a PO I want MVP clearly defined so that we deliver value early
150,AML-151,90,98.45931153830266,92.53779346149079,GOOD,Ticket meets all quality standards.,Create architecture decision records,As an architect I want ADRs for key decisions so that rationale is documented
151,AML-152,90,99.12456843218408,92.73737052965521,GOOD,Ticket meets all quality standards.,Define data quality thresholds,As a data quality analyst I want acceptable quality thresholds so that data issues trigger alerts
152,AML-153,90,99.59567622548589,92.87870286764576,GOOD,Ticket meets all quality standards.,Create compliance validation checklist,As a compliance officer I want checklist for go-live so that all regulatory requirements are verified
153,AML-154,90,99.1019781954277,92.7305934586283,GOOD,Ticket meets all quality standards.,Define team onboarding schedule for new members,As a project manager I want structured onboarding for 3 new developers starting June
154,AML-155,90,98.45956617908041,92.53786985372412,GOOD,Ticket meets all quality standards.,Create production readiness checklist,As a release manager I want checklist for go or no-go decision
155,AML-156,90,98.45887152644289,92.53766145793286,GOOD,Ticket meets all quality standards.,Document known errors and workarounds,As a support lead I want known error database so that L1 can resolve common issues
156,AML-157,90,98.45878725653782,92.53763617696134,GOOD,Ticket meets all quality standards.,Define sprint review format,As a Scrum Master I want standard sprint review format so that stakeholders see progress
157,AML-158,90,99.74466535901277,92.92339960770383,GOOD,Ticket meets all quality standards.,Create data profiling report for source files,As a data analyst I want data profile of source files so that we understand data quality
158,AML-159,90,98.46115661449042,92.53834698434711,GOOD,Ticket meets all quality standards.,Define test environment refresh schedule,As a QA lead I want regular test environment refresh so that testing uses current data
159,AML-160,90,99.17888371363497,92.75366511409048,GOOD,Ticket meets all quality standards.,Create dependency management plan,As a project manager I want dependency tracking so that cross-team coordination is managed
160,AML-161,90,99.53436539163705,92.86030961749111,GOOD,Ticket meets all quality standards.,Document SSL TLS configuration for all services,As a security engineer I want TLS configuration documented so that encryption standards are followed
